,model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.48960106,mean_absolute_percentage_error,0.2200770378112793,9.451445579528809,0.001499891,0.22496914863586426,2,TRUE,10
1,LightGBM,-0.596603726,mean_absolute_percentage_error,0.004984617,2.0580172538757324,0.004984617,2.0580172538757324,1,TRUE,4
2,CatBoost,-0.806735519,mean_absolute_percentage_error,0.077849627,284.1611409187317,0.077849627,284.1611409187317,1,TRUE,6
3,ExtraTreesMSE,-0.836732954,mean_absolute_percentage_error,0.089920998,2.511598825454712,0.089920998,2.511598825454712,1,TRUE,7
4,LightGBMXT,-0.891069466,mean_absolute_percentage_error,0.002981424,2.313025712966919,0.002981424,2.313025712966919,1,TRUE,3
5,RandomForestMSE,-1.140177599,mean_absolute_percentage_error,0.1236715316772461,4.656860352,0.1236715316772461,4.656860352,1,TRUE,5
6,XGBoost,-1.313485909,mean_absolute_percentage_error,0.008967876,0.15833687782287598,0.008967876,0.15833687782287598,1,TRUE,9
7,NeuralNetFastAI,-2.773450718,mean_absolute_percentage_error,0.027548075,3.9650001525878906,0.027548075,3.9650001525878906,1,TRUE,8
8,KNeighborsDist,-3.655915095,mean_absolute_percentage_error,0.005120277,0.013490915298461914,0.005120277,0.013490915298461914,1,TRUE,2
9,KNeighborsUnif,-3.714940207,mean_absolute_percentage_error,0.026690722,0.032740831,0.026690722,0.032740831,1,TRUE,1
